username,created_at,lng,lat,text,,,,
AmoretteAtHome, Sun Jan 24 03:48:23 +0000 2021,-96.788518,33.23583, Just posted a photo @ Wisk am Eatery https://t.co/ZaLjnEEMuC ,,,,
ColinKulpa, Sun Jan 24 03:48:23 +0000 2021,-86.441236,39.766555, vaccine                             a literal distribution                       racetrack… https://t.co/rByPBQBAsq ,,,,
willem_z33, Sun Jan 24 03:48:23 +0000 2021,139.477805,35.673245, #また中華か#デミオとのコラボを密かに狙うじゃりすけ ,,,,
hige_boze_, Sun Jan 24 03:48:23 +0000 2021,136.919507,35.161599, @scighera @sd_tricks_kato でしたよね！何故かコーンズ以降の記憶しかはっきりしてないんですよね？転んで頭でも打ったのかな笑笑 ,,,,
JacobSloanNews, Sun Jan 24 03:48:23 +0000 2021,-102.344087,31.873838, Hey @ESPNPlusHelp I can’t seem to get the stream for #UFC257 working. Are y’all having any issues on your end or is it me? ,,,,
HIGHSPEEDSTEV3, Sun Jan 24 03:48:23 +0000 2021,-73.565651,40.761198, https://t.co/thjvEecW9f ,,,,
shimesabadc5, Sun Jan 24 03:48:23 +0000 2021,139.586237,35.983776, https://t.co/0PpSsfeWs8 ,,,,
sirenasynite, Sun Jan 24 03:48:23 +0000 2021,-73.968542,40.780709, That explains it ,,,,
caylaj_, Sun Jan 24 03:48:23 +0000 2021,-83.099288,42.352787, it’s crazy how twitter be right on it no matter the situation it’s always a teeet right there ,,,,
ewnassar, Sun Jan 24 03:48:23 +0000 2021,-95.6368,29.6183, Pappardelle with ragu Bolognese#delicious #pastaisawesome #italianfood  #homemadepasta @ Sugar Land, Texas https://t.co/jU6SO4wLnn ,,,
PasaLapidary, Sun Jan 24 03:48:23 +0000 2021,-114.221,33.6651, Just posted a photo @ Quartzsite, Arizona https://t.co/ABdiekHvIs ,,,
DarrenW644, Sun Jan 24 03:48:23 +0000 2021,-75.30677,39.937821, Charles is obviously the top in most situations but bc they are who they are they’re both vers and tend to flip fuc… https://t.co/XZd5tJftzH ,,,,
CyClan, Sun Jan 24 03:48:23 +0000 2021,-82.985772,39.994684, Michigan suspending all sports again. ,,,,
madisonmuniz_, Sun Jan 24 03:48:23 +0000 2021,-96.699604,33.194651, @owenthekicker82 no ,,,,
SonsofSPP, Sun Jan 24 03:48:23 +0000 2021,-82.985772,39.994684, Man if I could hear @missjillscott sing safe in his arms in all its entirety..that would be so much life #gospel ,,,,
MomijiYbr125g, Sun Jan 24 03:48:23 +0000 2021,132.745504,34.421126, I'm at お宝買取団 東広島店 in 東広島市, 広島県 https://t.co/SwHa7SdJee ,,,
froggienana, Sun Jan 24 03:48:23 +0000 2021,-122.231788,47.95995, @architextbry I know it's close by. ,,,,
cjrueff, Sun Jan 24 03:48:23 +0000 2021,-81.733261,28.53817, love that my man &amp; my brother are bonding but they’ve been at the bar since 4 and I miss Raul 😭😂 ,,,,
FemboyHooters4, Sun Jan 24 03:48:24 +0000 2021,-115.223125,36.232915, @V4MPIRET33TH @ASTR0V4MP1RE sub ,,,,
